Ort	Geo	Datum	Getty	Symbol	Gender
Krefeld (alter Friedhof)	51.316734,6.55169	1902	7005980	Priesterhände	unbekannt
Neuss	51.194797,6.66818	1902	7004978	Magen David	Frau
St. Wendel	49.480286,7.170312	1902	1041036	Priesterhände	Mann
Bayreuth	49.934064,11.594224	1903	7004326	Magen David	Mann
Bingen	49.962935,7.89771	1903	7012309	Magen David	beide
Chemnitz	50.828331,12.889473	1903	7005951	Magen David	Mann
Chemnitz	50.828331,12.889473	1903	7005951	Magen David	unbekannt
Chemnitz	50.828331,12.889473	1903	7005951	Magen David	Frau
Chemnitz	50.828331,12.889473	1903	7005951	Magen David	Mann
Chemnitz	50.828331,12.889473	1903	7005951	Magen David	Mann
Krefeld (neuer Friedhof)	51.317175,6.554954	1903	7005980	Vanitas-Symbol	Mann
Kusterdingen-Wankheim	48.508472,9.100833	1903	7087635	Priesterhände	Mann
Laupheim	48.231932,9.884036	1903	1040058	Vanitas-Symbol	Mann
Mönchengladbach	51.188645,6.428684	1903	7004975	Magen David	beide
Mönchengladbach-Odenkirchen	51.134959,6.45498	1903	1005256	Magen David	Frau
Neunkirchen	49.326803,7.170049	1903	1040470	Magen David	Mann
Siegburg	50.801352,7.203499	1903	7005104	Levitenkanne	unbekannt
Siegburg	50.801352,7.203499	1903	7005104	Priesterhände	Mann
Bayreuth	49.934064,11.594224	1904	7004326	Magen David	Frau
Bayreuth	49.934064,11.594224	1904	7004326	Magen David	Mann
Blieskastel	49.240733,7.254151	1904	1038561	Priesterhände	Mann
Bornheim	50.75759,6.987414	1904	1038605	Priesterhände	unbekannt
Brühl	50.83361,6.907039	1904	7012417	Priesterhände	Mann
Chemnitz	50.828331,12.889473	1904	7005951	Magen David	Frau
Chemnitz	50.828331,12.889473	1904	7005951	Magen David	Mann
Chemnitz	50.828331,12.889473	1904	7005951	Magen David	Mann
Chemnitz	50.828331,12.889473	1904	7005951	Magen David	Frau
Chemnitz	50.828331,12.889473	1904	7005951	Magen David	beide
Dillingen-Diefflen	49.369234,6.753313	1904	1038818	Magen David	Frau
Dillingen-Diefflen	49.369234,6.753313	1904	1038818	Schmetterling	Mann
Erfurt	50.957207,11.038496	1904	7024031	Magen David	Mann
Erfurt	50.957207,11.038496	1904	7024031	Priesterhände	Mann
Geseke	51.645134,8.505151	1904	7012478	Vanitas-Symbol	Frau
Haigerloch	48.36392,8.807413	1904	1039436	Buch	Frau
Haigerloch	48.36392,8.807413	1904	1039436	Levitenkanne	Mann
Haigerloch	48.36392,8.807413	1904	1039436	Magen David	Frau
Hellenthal-Blumenthal	50.489872,6.456034	1904	7213692	Priesterhände	Mann
Mönchengladbach-Rheindahlen	51.151968,6.35897	1904	7004975	Levitenkanne	Mann
Neunkirchen	49.326803,7.170049	1904	1040470	Magen David	Mann
Neuss	51.194797,6.66818	1904	7004978	Magen David	Mann
Siegburg	50.801352,7.203499	1904	7005104	Magen David	unbekannt
St. Ingbert	49.285286,7.115439	1904	7012691	Magen David	Mann
St. Wendel	49.480286,7.170312	1904	1041036	Magen David	Mann
Bingen	49.962935,7.89771	1905	7012309	Vanitas-Symbol	Mann
Chemnitz	50.828331,12.889473	1905	7005951	Rose	Frau
Chemnitz	50.828331,12.889473	1905	7005951	Magen David	Mann
Chemnitz	50.828331,12.889473	1905	7005951	Magen David	beide
Dinslaken	51.560917,6.723472	1905	1038827	Magen David	Frau
Dinslaken	51.560917,6.723472	1905	1038827	Levitenkanne	beide
Haigerloch	48.36392,8.807413	1905	1039436	Buch	Frau
Haigerloch	48.36392,8.807413	1905	1039436	Buch	Mann
Jüchen	51.099422,6.498654	1905	1039755	Magen David	Mann
Krefeld (alter Friedhof)	51.316734,6.55169	1905	7005980	Magen David	unbekannt
Krefeld (neuer Friedhof)	51.317175,6.554954	1905	7005980	Vanitas-Symbol	Mann
Mönchengladbach-Odenkirchen	51.134959,6.45498	1905	1005256	Magen David	Frau
Neunkirchen	49.326803,7.170049	1905	1040470	Magen David	Mann
Neuss	51.194797,6.66818	1905	7004978	Magen David	beide
Chemnitz	50.828331,12.889473	1906	7005951	Magen David	Mann
Dillingen-Diefflen	49.369234,6.753313	1906	1038818	Magen David	Frau
Erfurt	50.957207,11.038496	1906	7024031	Priesterhände	Mann
Geldern	51.524202,6.332315	1906	1039217	Priesterhände	Mann
Geseke	51.645134,8.505151	1906	7012478	Vanitas-Symbol	unbekannt
Haigerloch	48.36392,8.807413	1906	1039436	Buch	Mann
Haigerloch	48.36392,8.807413	1906	1039436	Buch	Frau
Heiligenhaus	51.346014,6.924709	1906	1039517	Magen David	Frau
Krefeld (neuer Friedhof)	51.317175,6.554954	1906	7005980	Magen David	Frau
Krefeld (neuer Friedhof)	51.317175,6.554954	1906	7005980	Magen David	beide
Mönchengladbach	51.188645,6.428684	1906	7004975	Magen David	Mann
Neunkirchen	49.326803,7.170049	1906	1040470	Magen David	Frau
Neunkirchen	49.326803,7.170049	1906	1040470	Magen David	Mann
Neunkirchen	49.326803,7.170049	1906	1040470	Magen David	Mann
Siegburg	50.801352,7.203499	1906	7005104	Levitenkanne	unbekannt
